Image_number,URL,PMID,Pathophysiological_Process,Anatomy,Cell,Subject,Predicate,Object,Source,Subject_Object,Normalized_Subject_Object,Category_BERT_Keywords
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,glial cell activation,Brain,Missing,glial cell activation,positiveCorrelation,Alzheimer's disease,CBM,glial cell activation Alzheimer's disease,glial cell activation alzheimer's disease,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,Missing,Circumventricular Organs,Missing,COVID-19,increases,glial cell activation,CBM,COVID-19 glial cell activation,covid 19 glial cell activation,Systemic Cross-Organ Effects
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,positiveCorrelation,IL6,CBM,depressive disorder IL6,depressive disorder il6,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,positiveCorrelation,IL6,CBM,bipolar disorder IL6,bipolar disorder il6,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,positiveCorrelation,IL6,CBM,post-traumatic stress disorder IL6,post traumatic stress disorder il6,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,positiveCorrelation,IL6,CBM,psychosis IL6,psychosis il6,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,positiveCorrelation,IL6,CBM,obsessive-compulsive disorder IL6,obsessive compulsive disorder il6,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,positiveCorrelation,IL6,CBM,epilepsy IL6,epilepsy il6,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,positiveCorrelation,IL6,CBM,Alzheimer's disease IL6,alzheimer's disease il6,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,positiveCorrelation,TNF,CBM,depressive disorder TNF,depressive disorder tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,positiveCorrelation,TNF,CBM,bipolar disorder TNF,bipolar disorder tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,positiveCorrelation,TNF,CBM,post-traumatic stress disorder TNF,post traumatic stress disorder tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,positiveCorrelation,TNF,CBM,psychosis TNF,psychosis tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,positiveCorrelation,TNF,CBM,obsessive-compulsive disorder TNF,obsessive compulsive disorder tnf,Immune and Inflammatory Response
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,positiveCorrelation,TNF,CBM,epilepsy TNF,epilepsy tnf,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,positiveCorrelation,TNF,CBM,Alzheimer's disease TNF,alzheimer's disease tnf,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,increases,IL1B,CBM,depressive disorder IL1B,depressive disorder il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,increases,IL1B,CBM,bipolar disorder IL1B,bipolar disorder il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,increases,IL1B,CBM,post-traumatic stress disorder IL1B,post traumatic stress disorder il1b,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,increases,IL1B,CBM,psychosis IL1B,psychosis il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,increases,IL1B,CBM,obsessive-compulsive disorder IL1B,obsessive compulsive disorder il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,increases,IL1B,CBM,epilepsy IL1B,epilepsy il1b,Viral Entry and Neuroinvasion
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,increases,IL1B,CBM,Alzheimer's disease IL1B,alzheimer's disease il1b,Psychological and Neurological Symptoms
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,peripheral inflammation,Lungs,Missing,COVID-19,increases,peripheral inflammation,CBM,COVID-19 peripheral inflammation,covid 19 peripheral inflammation,Systemic Cross-Organ Effects
image_2,https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg,32732883,peripheral inflammation,Lungs,Missing,peripheral inflammation,increases,glial cell activation,CBM,peripheral inflammation glial cell activation,peripheral inflammation glial cell activation,Immune and Inflammatory Response
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,COVID-19,Lungs,Missing,COVID-19,increases,inflammation,CBM,COVID-19 inflammation,covid 19 inflammation,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,COVID-19,Lungs,Missing,COVID-19,increases,leukocyte migration to CNS,CBM,COVID-19 leukocyte migration to CNS,covid 19 leukocyte migration to cns,Immune and Inflammatory Response
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Gastrointestinal Tract,Missing,COVID-19,increases,Dysbiosis,CBM,COVID-19 Dysbiosis,covid 19 dysbiosis,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Blood-Brain Barrier,Missing,COVID-19,increases,impaired blood-brain barrier function,CBM,COVID-19 impaired blood-brain barrier function,covid 19 impaired blood brain barrier function,Viral Entry and Neuroinvasion
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Blood-Brain Barrier,Missing,COVID-19,increases,Th1/Th17 polarization,CBM,COVID-19 Th1/Th17 polarization,covid 19 th1/th17 polarization,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Blood-Brain Barrier,Missing,COVID-19,increases,NLRP3 inflammasome complex assembly,CBM,COVID-19 NLRP3 inflammasome complex assembly,covid 19 nlrp3 inflammasome complex assembly,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Microglia,Missing,COVID-19,increases,demyelination,CBM,COVID-19 demyelination,covid 19 demyelination,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Microglia,Missing,COVID-19,decreases,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CBM,"COVID-19 CD4-positive, CD25-positive, alpha-beta regulatory T cell","covid 19 cd4 positive, cd25 positive, alpha beta regulatory t cell",Viral Entry and Neuroinvasion
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Abnormality of the nervous system,CBM,COVID-19 Abnormality of the nervous system,covid 19 abnormality of the nervous system,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Brain Injuries,CBM,COVID-19 Brain Injuries,covid 19 brain injuries,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Mental deterioration,CBM,COVID-19 Mental deterioration,covid 19 mental deterioration,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Brain fog,CBM,COVID-19 Brain fog,covid 19 brain fog,Psychological and Neurological Symptoms
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,dementia,CBM,COVID-19 dementia,covid 19 dementia,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,psychotic disorder,CBM,COVID-19 psychotic disorder,covid 19 psychotic disorder,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,epilepsy,CBM,COVID-19 epilepsy,covid 19 epilepsy,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,seizure,CBM,COVID-19 seizure,covid 19 seizure,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,COVID-19,Central Nervous System,Missing,COVID-19,increases,Unusual CNS infection,CBM,COVID-19 Unusual CNS infection,covid 19 unusual cns infection,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,infection,CBM,COVID-19 infection,covid 19 infection,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,cerebrovascular disease,CBM,COVID-19 cerebrovascular disease,covid 19 cerebrovascular disease,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,cerebrovascular disease,increases,ischemia,CBM,cerebrovascular disease ischemia,cerebrovascular disease ischemia,Vascular Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,thrombosis,CBM,COVID-19 thrombosis,covid 19 thrombosis,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,thrombosis,increases,ischemia,CBM,thrombosis ischemia,thrombosis ischemia,Vascular Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,ischemia,CBM,COVID-19 ischemia,covid 19 ischemia,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,Lung Injury,CBM,COVID-19 Lung Injury,covid 19 lung injury,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,Lung Injury,increases,Hypoxia,CBM,Lung Injury Hypoxia,lung injury hypoxia,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,disease of metabolism,CBM,COVID-19 disease of metabolism,covid 19 disease of metabolism,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,Epstein-Barr Virus Reactivation,CBM,COVID-19 Epstein-Barr Virus Reactivation,covid 19 epstein barr virus reactivation,Viral Entry and Neuroinvasion
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,Virus Reactivation,CBM,COVID-19 Virus Reactivation,covid 19 virus reactivation,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,immune response,CBM,COVID-19 immune response,covid 19 immune response,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,autoimmune response,CBM,COVID-19 autoimmune response,covid 19 autoimmune response,Immune and Inflammatory Response
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,peripheral infection,CBM,COVID-19 peripheral infection,covid 19 peripheral infection,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,abnormal macrophage physiology,increases,COVID-19,CBM,abnormal macrophage physiology COVID-19,abnormal macrophage physiology covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,abnormal microglial cell physiology,increases,COVID-19,CBM,abnormal microglial cell physiology COVID-19,abnormal microglial cell physiology covid 19,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,cytokine production involved in immune response,increases,COVID-19,CBM,cytokine production involved in immune response COVID-19,cytokine production involved in immune response covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,Abnormality of mitochondrial metabolism,increases,COVID-19,CBM,Abnormality of mitochondrial metabolism COVID-19,abnormality of mitochondrial metabolism covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,TREM2 binding to DAP12,increases,inflammation,CBM,TREM2 binding to DAP12 inflammation,trem2 binding to dap12 inflammation,Viral Entry and Neuroinvasion
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,abnormal plasma membrane morphology,increases,COVID-19,CBM,abnormal plasma membrane morphology COVID-19,abnormal plasma membrane morphology covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,MAVS binding to VDAC1,increases,regulation of cell cycle,CBM,MAVS binding to VDAC1 regulation of cell cycle,mavs binding to vdac1 regulation of cell cycle,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,Abnormality of mitochondrial metabolism,increases,COVID-19,CBM,Abnormality of mitochondrial metabolism COVID-19,abnormality of mitochondrial metabolism covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Missing,Endoplasmic Reticuclum,Missing,reticulophagy,increases,COVID-19,CBM,reticulophagy COVID-19,reticulophagy covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Missing,Endoplasmic Reticuclum,Missing,Endoplasmi Reticulum Stress,increases,COVID-19,CBM,Endoplasmi Reticulum Stress COVID-19,endoplasmi reticulum stress covid 19,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,abnormal macrophage physiology,increases,Alzheimer's disease,CBM,abnormal macrophage physiology Alzheimer's disease,abnormal macrophage physiology alzheimer's disease,Psychological and Neurological Symptoms
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,abnormal microglial cell physiology,increases,Alzheimer's disease,CBM,abnormal microglial cell physiology Alzheimer's disease,abnormal microglial cell physiology alzheimer's disease,Immune and Inflammatory Response
