Image_number,URL,GitHub_URL,Pathophysiological Process,Subject,Predicate,Object
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Endoplasmic_Reticular_Dysfunction,Endoplasmic_reticular_dysfunction,involves,ER-phagy
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,Immune_cells,produce,pro-inflammatory_cytokines
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,Immune_cells,produce,autoantibodies
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,SARS-CoV-2_infection,causes,blood-brain_barrier_leakage
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,Blood-brain_barrier_leakage,leads_to,haemorrhage
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,Blood-brain_barrier_leakage,elicits,leukocytes_infiltration
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Cell_Infection,CNS_cells,become_infected,SARS-CoV-2
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Cell_Infection,SARS-CoV-2,enters_via,ACE2_endocytosis
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Cell_Infection,ACE2_endocytosis,mediated_by,TCP2
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,SARS-CoV-2_infection,leads_to,loss_of_physiological_functions
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Neurones,experience,cellular_stress
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Neurones,undergo,degeneration
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Neurones,have,synaptic_alterations
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Astrocytes,show,reactivity
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Astrocytes,undergo,astrogliosis
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Astrocytes,experience,degeneration
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Microglia,undergo,priming
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Microglia,perform,phagocytosis
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Microglia,cause,inflammation
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Loss_of_Physiological_Functions,Oligodendrocytes,may_experience,demyelination
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Transcellular_Migration,SARS-CoV-2,binds,ACE2
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Transcellular_Migration,SARS-CoV-2,binds,BSG
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Transcellular_Migration,SARS-CoV-2,binds,NRP-1
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Transcellular_Migration,SARS-CoV-2,crosses,endothelial_cells
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Trojan_Horse_Mechanism,SARS-CoV-2,infects,immune_cells
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Trojan_Horse_Mechanism,Immune_cells,carry,SARS-CoV-2
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Trojan_Horse_Mechanism,Immune_cells,cross,BBB
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Paracellular_Route,SARS-CoV-2,disrupts,tight_junctions
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Paracellular_Route,SARS-CoV-2,crosses,endothelial_cells
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Olfactory_Route,SARS-CoV-2,infects,olfactory_epithelium
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Olfactory_Route,SARS-CoV-2,reaches,CNS
image_11,https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_11.jpg,Olfactory_Route,SARS-CoV-2,travels_via,olfactory_neurons
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Prothrombotic_State,SARS-CoV-2_infection,induces,prothrombotic_state
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Microhemorrhage,Prothrombotic_state,leads_to,microhemorrhage
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Ischemia,Thrombus,causes,ischemia
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Vascular_Leakage,Ischemia,results_in,vascular_leakage
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Systemic_Inflammatory_Response,SARS-CoV-2_infection,triggers,systemic_inflammatory_response
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Perivascular_Inflammation,Systemic_inflammatory_response,causes,perivascular_inflammation
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Cytotoxic_T_Lymphocytes,Perivascular_inflammation,activates,cytotoxic_T_lymphocytes
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Autoantibodies,Systemic_inflammatory_response,produces,autoantibodies
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Cytokines,Systemic_inflammatory_response,releases,cytokines
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Reactive_Astrocyte,Cytokines,activate,reactive_astrocyte
image_14,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_14.jpg,Reactive_Microglia,Cytokines,activate,reactive_microglia
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Overproduction_of_Cytokines,SARS-CoV-2_infection,leads_to,cytokine_storm
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Overproduction_of_Cytokines,Cytokine_storm,causes,endothelial_damage
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Overproduction_of_Cytokines,Endothelial_damage,disrupts,blood-brain_barrier
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Coagulopathies_&_Thrombus_Formation,COVID-19,activates,pro-coagulation_factors
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Coagulopathies_&_Thrombus_Formation,Pro-coagulation_factors,lead_to,thrombus_formation
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Coagulopathies_&_Thrombus_Formation,Thrombus_formation,causes,brain_injury
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Direct_Viral_Invasion_of_Neurons_&_Cerebrovascular_Endothelial_Cells,SARS-CoV-2,binds_to,ACE2_receptor
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Direct_Viral_Invasion_of_Neurons_&_Cerebrovascular_Endothelial_Cells,Binding_to_ACE2_receptor,causes,immune_system_activation
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Direct_Viral_Invasion_of_Neurons_&_Cerebrovascular_Endothelial_Cells,Immune_system_activation,leads_to,neuronal_necrosis
image_15,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_15.jpg,Direct_Viral_Invasion_of_Neurons_&_Cerebrovascular_Endothelial_Cells,Immune_system_activation,leads_to,neuronal_apoptosis
image_17,https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_17.jpg,Direct_Infection_of_Epithelial_Cells,SARS-CoV-2,directly_infect,nasal_and_olfactory_epithelial_cells
image_17,https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_17.jpg,Spread_Down_Olfactory_Nerve,SARS-CoV-2,spread_down,olfactory_nerve
image_17,https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_17.jpg,Infection_of_Olfactory_Bulb,SARS-CoV-2,infect,olfactory_bulb_through_cribriform_plate
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,SARS-CoV-2_Infection,SARS-CoV-2,infects,olfactory_epithelial
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,SARS-CoV-2_Infection,SARS-CoV-2,infects,lungs
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,Type-I_IFN_Dysregulation,SARS-CoV-2_infection,dysregulates,Type-I_IFNs_production
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,Inflammatory_Response,Type-I_IFNs_dysregulation,exacerbates,proinflammatory_cytokines_release
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,BBB_Disruption,Inflammatory_response,damages,BBB
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,BBB_Disruption,Inflammatory_response,facilitates,immune_cells_infiltration
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,BBB_Disruption,Inflammatory_response,activates,microglia
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,BBB_Disruption,Inflammatory_response,damages,brain_tissue_cells
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,BBB_Disruption,Inflammatory_response,causes,autoantigens_release
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,Antibodies_Generation_Dysregulation,Innate_immune_response_dysregulation,affects,humoral_response_activation
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,Antibodies_Generation_Dysregulation,Innate_immune_response_dysregulation,induces,nonspecific_antibodies_production
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,Antibodies_Generation_Dysregulation,Innate_immune_response_dysregulation,generates,autoantibodies
image_18,https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_18.jpg,Neuronal_Death,Autoantibodies,induce,neuronal_death
image_27,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs13577-023-00988-2/MediaObjects/13577_2023_988_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_27.jpg,α-Synuclein_Aggregation,SARS-CoV-2_spike_protein,contains,receptor_binding_domain_(RBD)
image_27,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs13577-023-00988-2/MediaObjects/13577_2023_988_Fig1_HTML.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_27.jpg,α-Synuclein_Aggregation,Receptor_binding_domain_(RBD),binds,soluble_α-Synuclein
