image,subject,relation,object
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,17,interacts_with,17
image_14.jpg,4,interacts_with,4
image_14.jpg,17,interacts_with,4
image_17.jpg,Spke,interacts_with,Spke
image_17.jpg,TMPRSS2,interacts_with,ACE2
image_17.jpg,TMPRSS2,interacts_with,ACE2
image_17.jpg,TMPRSS2,interacts_with,@
image_17.jpg,ACE2,interacts_with,@
image_17.jpg,Otfactory,interacts_with,Otfactory
image_12.jpg,brain,interacts_with,samples
image_12.jpg,mortem,interacts_with,patient
image_12.jpg,patient,interacts_with,brain
image_12.jpg,patient,interacts_with,patient
image_12.jpg,COVID-19,decreases,mortem
image_12.jpg,mortem,interacts_with,mortem
image_12.jpg,COVID-19,decreases,COVID-19
image_12.jpg,COVID-19,decreases,COVID-19
image_12.jpg,Post,decreases,COVID-19
image_12.jpg,Post,interacts_with,Post
image_12.jpg,t,interacts_with,t
image_12.jpg,Neuroinvasion,interacts_with,Neuroinvasion
image_12.jpg,ACE2,interacts_with,"2,"
image_12.jpg,ACE2,interacts_with,ACE2
image_12.jpg,ACE2,interacts_with,ACE2
image_12.jpg,ACE2,interacts_with,ACE2
image_12.jpg,ACE2,interacts_with,ACE2
image_12.jpg,ACE2,interacts_with,"1,"
image_12.jpg,ACE2,decreases,SARS-CoV-2
image_12.jpg,ACE2,decreases,SARS-CoV-2
image_12.jpg,ACE2,decreases,SARS-CoV-2
image_12.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_12.jpg,Human,interacts_with,organoids
image_12.jpg,SARS-CoV-2,decreases,mouse
image_12.jpg,brain,interacts_with,brain
image_12.jpg,brain,interacts_with,brain
image_12.jpg,in,interacts_with,Human
image_12.jpg,model,interacts_with,model
image_12.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_12.jpg,in,interacts_with,in
image_12.jpg,SARS-CoV-2,decreases,mouse
image_12.jpg,vitro,interacts_with,vitro
image_12.jpg,in,interacts_with,in
image_12.jpg,vitro,interacts_with,vitro
image_12.jpg,vivo,interacts_with,vivo
image_12.jpg,in,interacts_with,vivo
image_12.jpg,vivo,interacts_with,vivo
image_10.jpg,Functions,interacts_with,Functions
image_10.jpg,Functions,interacts_with,Functions
image_10.jpg,of,interacts_with,of
image_10.jpg,Loss,interacts_with,Loss
image_10.jpg,Functions,interacts_with,Functions
image_10.jpg,of,interacts_with,Physiological
image_10.jpg,D.,interacts_with,Loss
image_10.jpg,Functions,interacts_with,Functions
image_10.jpg,of,interacts_with,of
image_10.jpg,D.,interacts_with,D.
image_10.jpg,J,interacts_with,"Priming,"
image_10.jpg,D.,interacts_with,D.
image_10.jpg,J,interacts_with,J
image_10.jpg,"a,",interacts_with,"a,"
image_10.jpg,Alterations,interacts_with,Alterations
image_10.jpg,3),interacts_with,3)
image_10.jpg,Synaptic,interacts_with,Synaptic
image_10.jpg,J,interacts_with,J
image_10.jpg,|,interacts_with,Cellular
image_10.jpg,"Stress,",interacts_with,J
image_10.jpg,|,interacts_with,|
image_10.jpg,Cellular,interacts_with,Cellular
image_10.jpg,"Stress,",interacts_with,"Stress,"
image_10.jpg,|,interacts_with,|
image_10.jpg,J,interacts_with,.
image_10.jpg,3),interacts_with,3)
image_10.jpg,ACE2,interacts_with,3)
image_10.jpg,J,interacts_with,.
image_10.jpg,Cytokines*,interacts_with,Cytokines*
image_10.jpg,«Pro-inflammatory,decreases,«Pro-inflammatory
image_10.jpg,.,decreases,«Pro-inflammatory
image_10.jpg,3),interacts_with,N
image_10.jpg,x,interacts_with,x
image_10.jpg,.,interacts_with,.
image_10.jpg,ot,interacts_with,ot
image_10.jpg,ACE2,interacts_with,ACE2
image_10.jpg,ACE2,interacts_with,ACE2
image_10.jpg,3),interacts_with,3)
image_10.jpg,x,interacts_with,x
image_10.jpg,ot,interacts_with,ot
image_10.jpg,3),interacts_with,3)
image_10.jpg,ot,interacts_with,ot
image_10.jpg,N,interacts_with,N
image_10.jpg,"Reactivity,",interacts_with,"Reactivity,"
image_10.jpg,N,interacts_with,N
image_10.jpg,+Q,increases,+Q
image_10.jpg,"Reactivity,",interacts_with,"Reactivity,"
image_10.jpg,+Q,increases,+Q
image_10.jpg,+,increases,+Q
image_10.jpg,ACE2,increases,+Q
image_10.jpg,+,increases,+
image_10.jpg,C.,interacts_with,Cell
image_10.jpg,SARS-CoV-2,decreases,SARS-CoV-2
image_10.jpg,Infection,interacts_with,Infection
image_10.jpg,Infection,interacts_with,Infection
image_10.jpg,Parenchyma,interacts_with,Parenchyma
image_10.jpg,Cell,decreases,SARS-CoV-2
image_10.jpg,Cell,interacts_with,Cell
image_10.jpg,Infection,interacts_with,Infection
image_10.jpg,C.,interacts_with,Cell
image_10.jpg,C.,interacts_with,C.
image_10.jpg,CNS,interacts_with,CNS
image_10.jpg,CNS,interacts_with,CNS
image_10.jpg,CNS,interacts_with,CNS
image_10.jpg,*,interacts_with,|
image_10.jpg,*,interacts_with,|
image_10.jpg,*,interacts_with,|
image_10.jpg,|,interacts_with,|
image_10.jpg,|,interacts_with,|
image_10.jpg,|,interacts_with,|
image_10.jpg,|,interacts_with,|
image_10.jpg,Haemorrhage,interacts_with,Haemorrhage
image_10.jpg,Perivascular,interacts_with,*
image_10.jpg,Haemorrhage,interacts_with,Haemorrhage
image_10.jpg,Barrier,interacts_with,Barrier
image_10.jpg,Barrier,interacts_with,Barrier
image_10.jpg,Blood-brain,decreases,Barrier
image_10.jpg,Blood-brain,decreases,Blood-brain
image_10.jpg,Barrier,interacts_with,Barrier
image_10.jpg,Barrier,interacts_with,Barrier
image_10.jpg,B.,interacts_with,B.
image_10.jpg,B.,interacts_with,B.
image_10.jpg,Haemorrhage,interacts_with,B.
image_10.jpg,@,interacts_with,Haemorrhage
image_10.jpg,2o,interacts_with,°
image_10.jpg,@,interacts_with,@
image_10.jpg,y,interacts_with,Infiltration
image_10.jpg,Haemorrhage,interacts_with,Haemorrhage
image_10.jpg,y,interacts_with,y
image_10.jpg,°,interacts_with,°
image_10.jpg,B.,interacts_with,2o
image_10.jpg,2o,interacts_with,2o
image_10.jpg,Barrier,interacts_with,y
image_10.jpg,°,interacts_with,Barrier
image_10.jpg,Infiltration,interacts_with,Infiltration
image_10.jpg,y,interacts_with,Infiltration
image_10.jpg,Infiltration,interacts_with,Infiltration
image_10.jpg,Infiltration,interacts_with,Infiltration
image_10.jpg,y,interacts_with,Leukocytes
image_10.jpg,°,interacts_with,°
image_10.jpg,@,interacts_with,y
image_10.jpg,Cytokines,interacts_with,Cytokines
image_10.jpg,Cytokines,interacts_with,Cytokines
image_10.jpg,@,interacts_with,@
image_10.jpg,=,interacts_with,=
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,Pro-inflammatory,decreases,Pro-inflammatory
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,*,interacts_with,*
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,"+""",increases,Autoantibodies
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,Autoantibodies,interacts_with,Autoantibodies
image_10.jpg,"+""",increases,Autoantibodies
image_10.jpg,@,interacts_with,@
image_10.jpg,®,interacts_with,®
image_10.jpg,.,interacts_with,.
image_10.jpg,@.,interacts_with,@.
image_10.jpg,Production,interacts_with,Production
image_10.jpg,of,interacts_with,of
image_10.jpg,Production,interacts_with,Production
image_10.jpg,Effector,interacts_with,Effector
image_10.jpg,Production,interacts_with,Production
image_10.jpg,Molecules,interacts_with,Molecules
image_10.jpg,Molecules,interacts_with,Molecules
image_10.jpg,A.,interacts_with,A.
image_10.jpg,A.,interacts_with,A.
image_10.jpg,®,interacts_with,®
image_10.jpg,Effector,interacts_with,Effector
image_10.jpg,Effector,interacts_with,Effector
image_10.jpg,of,interacts_with,of
image_10.jpg,Blood,interacts_with,Blood
image_10.jpg,Stream,interacts_with,Stream
image_10.jpg,A.,interacts_with,A.
image_10.jpg,A.,interacts_with,A.
image_10.jpg,r,interacts_with,r
image_10.jpg,@.,interacts_with,@.
image_10.jpg,A.,interacts_with,A.
image_10.jpg,@.,interacts_with,@.
image_10.jpg,Stream,interacts_with,Stream
image_10.jpg,Blood,interacts_with,Blood
image_10.jpg,Blood,interacts_with,Stream
image_11.jpg,Mechanism,interacts_with,"Horse"""
image_11.jpg,Mechanism,interacts_with,Mechanism
image_11.jpg,Mechanism,interacts_with,Mechanism
image_11.jpg,Mechanism,interacts_with,Mechanism
image_11.jpg,Mechanism,interacts_with,Mechanism
image_11.jpg,2.,interacts_with,2.
image_11.jpg,Mechanism,interacts_with,Mechanism
image_11.jpg,"Horse""",interacts_with,"Horse"""
image_11.jpg,"""Trojan",interacts_with,"""Trojan"
image_11.jpg,"""Trojan",interacts_with,"""Trojan"
image_11.jpg,"Horse""",interacts_with,"Horse"""
image_11.jpg,"""Trojan",interacts_with,"""Trojan"
image_11.jpg,"""Trojan",interacts_with,"""Trojan"
image_11.jpg,"""Trojan",interacts_with,"""Trojan"
image_11.jpg,"Horse""",interacts_with,"Horse"""
image_11.jpg,2.,interacts_with,2.
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,migration,interacts_with,Transcellular
image_11.jpg,migration,interacts_with,migration
image_11.jpg,migration,interacts_with,migration
image_11.jpg,1.,interacts_with,migration
image_11.jpg,1.,interacts_with,1.
image_11.jpg,migration,interacts_with,migration
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,migration,interacts_with,Transcellular
image_11.jpg,1.,interacts_with,1.
image_11.jpg,1.,interacts_with,1.
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,Transcellular,interacts_with,Transcellular
image_11.jpg,"ACE2,",decreases,NRP-1
image_11.jpg,2.,interacts_with,2.
image_11.jpg,Olfactory,interacts_with,Cells
image_11.jpg,route,interacts_with,route
image_11.jpg,route,interacts_with,route
image_11.jpg,route,interacts_with,route
image_11.jpg,Paracellular,interacts_with,Paracellular
image_11.jpg,route,interacts_with,route
image_11.jpg,Paracellular,interacts_with,Paracellular
image_11.jpg,Paracellular,interacts_with,Paracellular
image_11.jpg,Paracellular,interacts_with,Paracellular
image_11.jpg,3.,interacts_with,Paracellular
image_11.jpg,3.,interacts_with,3.
image_11.jpg,3.,interacts_with,3.
image_11.jpg,Paracellular,interacts_with,Paracellular
image_11.jpg,Paracellular,interacts_with,Paracellular
image_11.jpg,2.,interacts_with,2.
image_11.jpg,"Horse""",interacts_with,3.
image_11.jpg,3.,interacts_with,Paracellular
image_11.jpg,2.,interacts_with,2.
image_11.jpg,2.,interacts_with,2.
image_11.jpg,2.,interacts_with,2.
image_11.jpg,2.,interacts_with,3.
image_11.jpg,/,interacts_with,/
image_11.jpg,2.,interacts_with,3.
image_11.jpg,3.,interacts_with,3.
image_11.jpg,tia,interacts_with,tia
image_11.jpg,tia,interacts_with,tia
image_11.jpg,\,interacts_with,\
image_11.jpg,tia,interacts_with,tia
image_11.jpg,Transcellular,interacts_with,3.
image_11.jpg,tia,interacts_with,tia
image_11.jpg,/,interacts_with,/
image_11.jpg,/,interacts_with,/
image_11.jpg,/,interacts_with,/
image_11.jpg,/,interacts_with,/
image_11.jpg,tia,interacts_with,tia
image_11.jpg,tia,interacts_with,tia
image_11.jpg,/,interacts_with,/
image_11.jpg,/,interacts_with,/
image_11.jpg,/,interacts_with,/
image_11.jpg,Transcellular,interacts_with,3.
image_11.jpg,tract,interacts_with,/
image_11.jpg,4,interacts_with,4
image_11.jpg,tract,interacts_with,4
image_11.jpg,tract,interacts_with,tract
image_11.jpg,Junction,interacts_with,Junction
image_11.jpg,Junction,interacts_with,Junction
image_11.jpg,Junction,interacts_with,Junction
image_11.jpg,Junction,interacts_with,Junction
image_11.jpg,tia,interacts_with,Endothelial
image_11.jpg,right,interacts_with,Junction
image_11.jpg,right,interacts_with,right
image_11.jpg,right,interacts_with,right
image_11.jpg,right,interacts_with,right
image_11.jpg,|,interacts_with,|
image_11.jpg,tract,interacts_with,tract
image_11.jpg,Endothelial,interacts_with,Endothelial
image_11.jpg,Cel,interacts_with,Cel
image_11.jpg,Endothelial,interacts_with,Endothelial
image_11.jpg,Endothelial,interacts_with,Endothelial
image_11.jpg,Endothelial,interacts_with,Endothelial
image_11.jpg,4,interacts_with,4
image_11.jpg,4,interacts_with,4
image_11.jpg,/,interacts_with,J
image_11.jpg,4,interacts_with,J
image_11.jpg,|,interacts_with,|
image_11.jpg,Astrocyte,interacts_with,Astrocyte
image_11.jpg,4,interacts_with,4
image_11.jpg,J,interacts_with,J
image_11.jpg,right,interacts_with,right
image_11.jpg,right,interacts_with,right
image_11.jpg,E,interacts_with,/
image_11.jpg,4,interacts_with,4
image_11.jpg,E,interacts_with,/
image_11.jpg,right,interacts_with,Astrocyte
image_11.jpg,right,interacts_with,right
image_11.jpg,(,interacts_with,(
image_11.jpg,(,interacts_with,(
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,in,interacts_with,in
image_11.jpg,bloodstream,interacts_with,in
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,4,interacts_with,4
image_11.jpg,J,interacts_with,J
image_11.jpg,4,interacts_with,4
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,in,interacts_with,in
image_11.jpg,in,interacts_with,in
image_11.jpg,4,interacts_with,4
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,in,interacts_with,in
image_11.jpg,bloodstream,interacts_with,in
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,bloodstream,interacts_with,bloodstream
image_11.jpg,right,interacts_with,Cel
image_11.jpg,A,interacts_with,A
image_11.jpg,>,interacts_with,>
image_11.jpg,\,interacts_with,\
image_11.jpg,4,interacts_with,4
image_11.jpg,4,interacts_with,(
image_11.jpg,Transcellular,interacts_with,E
image_11.jpg,(,interacts_with,(
image_11.jpg,brain,interacts_with,brain
image_11.jpg,brain,interacts_with,brain
image_11.jpg,of,interacts_with,of
image_11.jpg,microvasculature,interacts_with,microvasculature
image_11.jpg,microvasculature,interacts_with,microvasculature
image_11.jpg,microvasculature,interacts_with,microvasculature
image_11.jpg,microvasculature,interacts_with,microvasculature
image_11.jpg,microvasculature,interacts_with,microvasculature
image_11.jpg,section,interacts_with,microvasculature
image_11.jpg,Cross,interacts_with,section
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,4,interacts_with,4
image_11.jpg,of,interacts_with,of
image_11.jpg,of,interacts_with,of
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,A,interacts_with,A
image_11.jpg,A,interacts_with,A
image_11.jpg,4,interacts_with,4
image_11.jpg,(,interacts_with,(
image_11.jpg,4,interacts_with,4
image_11.jpg,brain,interacts_with,brain
image_11.jpg,brain,interacts_with,brain
image_11.jpg,of,interacts_with,of
image_11.jpg,microvasculature,interacts_with,of
image_11.jpg,section,interacts_with,section
image_11.jpg,section,interacts_with,section
image_11.jpg,Cross,interacts_with,section
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,Cross,interacts_with,Cross
image_11.jpg,of,interacts_with,brain
image_11.jpg,of,interacts_with,of
image_11.jpg,4,interacts_with,|
image_11.jpg,4,interacts_with,4
image_11.jpg,A,interacts_with,A
image_11.jpg,A,interacts_with,A
image_11.jpg,A,interacts_with,A
image_11.jpg,B,interacts_with,B
image_11.jpg,A,interacts_with,A
image_39.jpg,BBB,interacts_with,BBB
image_39.jpg,Neuronal,interacts_with,Neuronal
image_39.jpg,Death,interacts_with,Death
image_39.jpg,Death,interacts_with,Death
image_39.jpg,Neuronal,interacts_with,Death
image_39.jpg,;,interacts_with,;
image_39.jpg,BBB,interacts_with,BBB
image_39.jpg,;,interacts_with,Neuronal
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,;,interacts_with,;
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,&,interacts_with,&
image_39.jpg,\,interacts_with,\
image_39.jpg,"PS,",interacts_with,"PS,"
image_39.jpg,&,interacts_with,&
image_39.jpg,\,interacts_with,\
image_39.jpg,\,interacts_with,\
image_39.jpg,"TNFa,",interacts_with,"TNFa,"
image_39.jpg,|,interacts_with,|
image_39.jpg,\,interacts_with,\
image_39.jpg,\,interacts_with,\
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,|
image_39.jpg,&,interacts_with,&
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,|
image_39.jpg,Xe,interacts_with,Xe
image_39.jpg,Xe,interacts_with,Xe
image_39.jpg,Xe,interacts_with,Xe
image_39.jpg,@,interacts_with,@
image_39.jpg,"TNFa,",interacts_with,=
image_39.jpg,=,interacts_with,=
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,|
image_39.jpg,Activated,interacts_with,Activated
image_39.jpg,Activated,interacts_with,Activated
image_39.jpg,Activated,interacts_with,Activated
image_39.jpg,Activated,interacts_with,Activated
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,|
image_39.jpg,Activated,interacts_with,Activated
image_39.jpg,Activated,interacts_with,Activated
image_39.jpg,|,interacts_with,|
image_39.jpg,|,interacts_with,Activated
image_39.jpg,|,interacts_with,|
image_62.jpg,death,interacts_with,death
image_62.jpg,neuroinflammation,interacts_with,neuroinflammation
image_62.jpg,Exacerbation,interacts_with,Exacerbation
image_62.jpg,of,interacts_with,of
image_62.jpg,neuroinflammation,interacts_with,neuroinflammation
image_62.jpg,of,interacts_with,of
image_62.jpg,Exacerbation,interacts_with,Exacerbation
image_62.jpg,Exacerbation,interacts_with,Exacerbation
image_62.jpg,Exacerbation,interacts_with,neuroinflammation
